Date,River,Site #,"Latitude, Longitude",Lat,Lon,Grid #,Benthic Score,Flow Rate (m/s),Phosphates (mol/L),Temperature (deg C),pH,Conductivity (uS/cm),Ammonium (mg/L), Nitrates (mg/L),E.Coli (col./ 1mL),Turbidity (NTU),DO,DO (%)final,# of hours later,BOD/hr,Soil,Plankton,Fish
9/1/2015,Riverview,1,"38.023496, -78.453626",38.023496,-78.453626,1,no data,3.3,0.018,27.7,5.44,,0,0.1,no data,-9.6,96,,,,,,
9/1/2015,Riverview,1,"38.023496, -78.453627",38.023496,-78.453627,2,,0.14,0.02,27.2,6.15,,0,4.9,,-8.5,94.5,,,,,,
9/1/2015,Riverview,1,"38.023496, -78.453628",38.023496,-78.453628,3,,0.032,0,27.2,6.51,,0,2.6,,-6,92.2,,,,,,
9/1/2015,Riverview,1,"38.023496, -78.453629",38.023496,-78.453629,4,,0.01,0,27.9,6.69,,0,2.4,,-7.9,95.4,,,,,,
9/1/2015,Riverview,1,"38.023496, -78.453630",38.023496,-78.453630,5,,0.027,0,27.7,6.81,,0,4,,-9,96.5,,,,,,
9/1/2015,Riverview,1,"38.023496, -78.453631",38.023496,-78.453631,6,,0.085,0,27.6,6.92,,0,2.5,,-15.7,92,,,,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,1,12,0.795,0.022,20.6,6.79,157.7,0,1.7,1,1.8,96.1,94.7,,6.36,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,2,,0.004,0,19.8,6.99,156.4,0,1.9,,0.2,94.4,95.6,,-5.45,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,3,,0.287,0,19.3,7.3,156.6,0,1.6,,0,94.3,96,,-7.73,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,4,,0.004,0,19.2,7.12,156.5,0,1.6,,0,93,94.4,,-6.36,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,5,,0.006,0,19.4,7.2,156,0,1.6,,-1.1,94.2,92.4,,8.18,,,
9/25/2016,Leatherbark Run,5,"38.408182, -79.919069",38.408182,-79.919069,6,,0.01,0,20.4,7.43,155.6,0,1.6,,3.1,92.4,91.7,,3.18,,,
